Company.Name,PBDITA.as...of.total.income,PAT.as...of.total.income,Cash.profit.as...of.total.income,Net.profit.margin,PAT.as...of.net.worth,Return.on.capital.employed,Return.on.net.worth,Tangible.net.worth,Current.ratio..times.,Quick.ratio..times.,Debt.to.equity.ratio..times.,Export...Sales....,Total.forex.earnings...Total.income....,Dividend.rate,Contingent.liabilities...Net.worth....,Sales,Size,Market.Capitalisation,Long.term.borrowings.excl.current.portion,Debtor.days..days.,Creditor.days..days.,Net.working.capital.cycle..days.,Year,Target
Adani Enterprises Ltd.,6.28,3.83,3.84,2.42,27.87,7.96,17.34,4769.1,1.41,1.27,1.25,32.79,31.96,30,166.22,30062.4,20379.8,4798.62,15744.9,107.99,71.89,115.46,1993,1
Adani Enterprises Ltd.,5.9,1.14,2.29,1.17,6.72,3.23,6.87,4961.1,1.27,1.14,1.01,30.86,30.41,30,166.93,28124.4,22697.2,3568.92,13932.8,128.83,87.05,100.23,1993,1
Adani Enterprises Ltd.,6.92,1.86,3.13,1.84,10.31,5.38,10.22,5406.8,1.44,1.35,0.8,13.64,13.1,30,123.93,27617.3,22953.2,2710.18,14608.1,131.37,80.62,64.66,1993,1
Adani Enterprises Ltd.,3.32,1.72,1.74,1.65,21.52,12.18,20.58,6128,1.56,1.34,0.59,68.5,67.26,40,147.38,70686.9,30111.2,8859.2,41529.5,55.57,36.29,30.67,1993,1
Adani Enterprises Ltd.,2.57,0.79,0.81,0.73,16.83,8.02,15.51,6744.3,1.29,1.16,1.24,79.98,78.98,40,175.9,135135.3,50923.8,13481.63,46214.6,44.42,35.88,16.94,1993,1
Adani Enterprises Ltd.,6.1,1.23,1.11,1.07,16.38,5.7,14.23,7704.3,1.42,1.25,1.71,27.9,27.23,45,155.04,93364.7,66428.4,51774.59,28104.2,85.83,71.5,55.6,1993,1
Adani Enterprises Ltd.,5.66,1.45,1.67,1.29,16.61,4.33,14.71,10416.6,1.19,1.06,2.9,35.24,34.85,45,89.09,100617.1,78340.1,147916.83,41529.5,70.81,60.44,38.71,1993,1
Adani Enterprises Ltd.,6.65,2.63,2.84,2.27,26.2,6.42,22.52,13354.7,0.84,0.62,2.21,51.48,50.08,60,97.11,113796.5,80683.2,65930.96,37784.3,46.51,52.65,43.91,1993,1
Adani Enterprises Ltd.,7.5,2.76,3.26,2.66,21.9,6.86,21.04,16414.2,1.1,1,1.95,52.84,51.9,100,84.11,113311.9,88735.6,249959.19,21439.3,48.17,56.8,27.03,1993,1
Adani Enterprises Ltd.,6.57,2.16,2.23,1.81,14.09,3.9,11.75,19665.7,0.89,0.83,2.06,32.26,31.49,100,45.87,114334.8,94740,249959.19,41529.5,50.62,45,17.5,1993,1
Adani Enterprises Ltd.,11.08,7.77,8.32,8.53,4.59,3.53,4.99,97388.8,1.29,0.75,0.08,1.67,1.45,100,7.14,29129.6,89137.1,730026.44,1500,147.9,141.67,86.26,1993,1
Adani Enterprises Ltd.,11.55,6.27,7.72,6.25,3.66,3.23,3.61,99757.4,1.19,0.82,0.16,0,0,100,8.58,52748.5,91555,334919.67,8577,96.49,119.45,540.86,1993,1
Adani Enterprises Ltd.,9.52,4.25,5.23,4.03,5.35,3.82,5.06,103454.1,0.84,0.71,0.49,0.15,0.13,140,29.87,118867.7,113798.1,222244.12,14900,85.6,117.85,281.52,1993,1
Adani Enterprises Ltd.,8.45,-1.17,-2.83,-1.95,-1.5,-1.57,-2.46,100169.4,0.5,0.34,0.66,0,0,140,35.32,117864.4,148125.4,405142.54,20405.8,106.24,168.46,835.09,1993,1
Adani Enterprises Ltd.,12.43,2.63,3.82,2.47,4.26,2.46,3.98,102519.1,0.59,0.43,0.59,0,0,140,23.81,149154,180161.6,676795.63,25351.5,85.14,172.96,65.46,1993,1
Adani Enterprises Ltd.,16.46,5.66,5.52,5.64,7.53,3.89,7.48,28910.1,0.54,0.36,1.89,0.01,0,40,164.24,81472.5,164531.5,81083.5,19113.3,145.05,255.1,358.02,1993,1
Ajanta Pharma Ltd.,21.74,9.77,11.1,7.92,5.13,3.09,4.08,1678.5,2.09,1.54,0.25,34.35,36.9,15,2.71,803.7,1680.3,1062.17,342.8,262.75,128.48,299.82,1979,1
Ajanta Pharma Ltd.,21.83,3.56,8.86,2.78,1.57,0.93,1.21,1279.8,2.11,1.45,0.36,47.05,48.51,2.5,9.35,731.7,1682.3,561.92,12,271.72,110,406.33,1979,1
Ajanta Pharma Ltd.,23.19,4.06,9.96,2.2,2.51,0.98,1.33,1324.8,2.27,1.36,0.36,56.44,55.06,0,5.95,1024.4,1633.6,256.81,605,195.34,65.09,345.87,1979,1
Ajanta Pharma Ltd.,19.15,0.3,9.62,0.4,0.21,0.21,0.28,1335.2,1.74,0.97,0.35,55.83,55.7,0,2.45,1206.5,1753,488.24,114.02,169.7,95.47,314.25,1979,1
Ajanta Pharma Ltd.,12.06,4.14,6.93,4.1,5.43,3.57,5.38,1013.1,1.7,0.85,0.79,75.44,75.04,20,13.53,1788,1866.7,667.09,2875.1,119,68.98,211.6,1979,1
Ajanta Pharma Ltd.,13.93,4.86,8.06,4.62,9.81,5.26,9.32,1096.5,1.74,0.93,0.75,54.82,54.61,15,16.85,2123.7,1999.9,840.38,12,110.83,75.19,181.61,1979,1
Ajanta Pharma Ltd.,15.42,5.49,8.91,4.78,11.91,5.62,10.29,1206.2,1.53,0.84,0.9,38.51,39.66,20,6.24,2471.7,2235.9,939.31,342.8,107.11,76.34,158.34,1979,1
