PROMSHR,PROMPLEDG,FORPROM,Market.Capitalisation,EPS,P.E,P.B,BVS,Beta,TA,Alpha,PBDITAINC,PBTINC,PATINC,CASHPRFINC,PBDITAMARG,OPMARG,OPRFINCOS,PBPTEQ,ROE,RONW,CASHROE,PBPTCE,ROCE,PATCE,PBPTTA,ROTA,PATTA,QR,CR,DE,CASHCL,CASHCOS,TURNOVER,NAT,PVT,FORGN,OTHERS,Target
56.9,54.14,52.55,17369.43,20.21,16.88,3.39,100.58,1.32,10270,-0.45,30.69,24.14,15.83,20.95,26.95,27.87,1086.28,33.81,21.57,24.1,31.9,22.13,14.12,15.77,12.76,8.14,9.09,0.17,0.8,0.76,0.16,99.5,7043.6,9,0,0,0,1
56.9,0,52.02,36643.33,29.88,24.08,5.35,134.52,1.03,21981,0.46,32.16,24.96,16.13,22.39,26.14,30.19,1275.65,38.13,24.29,25.64,35.58,21.87,13.93,14.71,12.8,8.15,8.61,0.08,0.43,0.73,0.07,46.5,9668.4,7,2,0,0,1
57.14,71.43,22.17,4216.33,32.92,2.52,0.5,164.71,1.17,42052.5,-0.37,31.92,17.41,12,17.21,27.35,31.38,3746.91,30.59,21.12,21.56,30.91,12.52,8.64,8.82,7.7,5.32,5.43,0.03,0.48,2.03,0.02,17.35,14122.2,8,2,0,0,1
57.14,60.03,48.83,12730.45,43.23,5.78,1.18,211.24,1.38,53942.3,-0.09,33.42,17.18,11.9,16.74,27.14,29.33,322.25,32.45,22.62,23.52,33.08,9.55,6.66,6.92,6.64,4.63,4.82,0.09,0.4,2.69,0.07,7.59,18076.7,9,2,0,0,1
60.72,67.95,52.48,18431.15,36.68,9.87,1.49,243.66,1.38,76049.5,0.06,31.17,12.73,8.61,12.93,31.53,27.37,244.82,23.92,16.12,16.3,24.48,7.29,4.91,4.97,4.29,2.89,2.93,0.25,0.88,1.93,0.13,149.58,20770.9,9,2,0,0,1
61.83,60.03,54.21,19406.3,29.72,12.82,1.41,270.15,1.38,76049.5,0.06,28.65,10.91,7.41,12.52,28.12,27.77,731.4,20.08,13.71,13.55,22.88,6.26,4.28,4.23,3.25,2.22,2.19,0.17,0.91,2.45,0.06,73.04,23842.9,9,2,0,0,1
66.81,60.75,50.26,16320.44,27.53,11.64,1.08,297.27,1.37,89208.7,0.18,33.72,7.85,4.98,10.44,30.48,32.22,644.58,9.51,5.71,7.27,15.21,2.69,1.62,2.06,1.44,0.86,1.1,0.07,0.83,2.61,0,6.14,20940.2,9,2,0,0,1
67.92,91.38,54.21,13030.89,-15.66,28.83,0.98,260.96,1.31,124561.6,0.3,60.03,-17.84,-11.93,-10.2,56.6,66.67,-453.6,-11.39,-5.58,-13.95,-11.93,-2.66,-1.3,-3.26,-1.41,-0.69,-1.73,0.13,1.06,4.05,0.02,99.44,16188.1,19,2,0,3,1
58.67,95.35,0.05,12208.12,-161.1,21.38,2.41,94.14,0.67,123546,-0.01,-7.74,-297.43,-223.49,-218.72,-1.28,-0.98,-35385.5,-103.7,-94.5,-97.8,-95.72,-13.1,-11.94,-12.36,-7.7,-7.01,-7.26,0.1,1.08,14.42,0.01,37.64,3901.2,19,2,0,3,1
33.26,99.33,0,2593.48,-505.02,23.61,50.71,-590.88,0.69,111067.5,-0.63,-4068.86,-9859.92,-9808.6,-6403.1,169.82,-1643.54,-54630.11,-129,102.49,-144.69,154.73,-20.62,-36.92,-50.13,-13.03,-23.34,-31.68,0.09,0.74,0.2,0.01,49.17,343.1,19,2,2,3,1
49.62,0,0.1,401421.36,71.29,17.59,2.95,142.53,0.75,1114528,0,56.87,29.9,31.14,42.24,54,54,570.35,27.15,26.95,28.11,38.14,8.95,8.88,9.26,6.76,6.71,6.99,0.39,0.4,1.74,0.05,61.83,5608,3,4,0,0,0
81.3,8.18,15.11,232193.38,4.9,118.3,8.9,65.13,1.15,57266.7,-0.02,69.67,41.69,23.95,50.72,59.94,59.94,176.95,21.26,11.73,12.75,27,10.88,6,6.52,8.12,4.48,4.87,1.66,1.68,0.73,1.38,850.4,6712.6,3,4,0,0,0
81.2,14.48,15.11,129499.39,11.31,28.57,4.4,73.44,1.42,65245.8,0.69,69.52,40.81,35.6,50.82,63.92,63.92,225.19,18.75,16.33,16.61,23.71,10.65,9.27,9.43,8.5,7.4,7.53,0.96,0.97,0.79,0.77,838.92,10338.9,3,5,0,0,0
80.17,9.98,15.11,316636.44,17.84,44.29,9.08,86.99,1.07,80770.3,0.1,71.09,48.61,44.81,60.08,66.54,66.54,289.96,23.97,22.24,21.81,29.24,12.88,11.95,11.72,10.55,9.79,9.6,0.32,0.33,0.92,0.24,428.5,12852.2,3,5,0,0,0
77.5,0,2.46,273363.12,4.73,28.83,6.37,21.42,1.05,85106.2,0.04,71.33,53.7,49.18,62.69,66.8,66.8,443.59,26.68,24.38,25.36,32.33,15.13,13.83,14.39,12.51,11.43,11.89,0.18,0.26,0.63,0.05,67.28,17319.8,2,7,2,0,0
77.5,6.54,28.45,258538.01,5.67,22.78,5.04,25.6,1.05,85106.2,0.04,71.46,50.34,46.68,51.25,68.82,68.82,614.67,26.82,24.87,24.91,27.36,13.82,12.82,12.84,11.72,10.87,10.89,0.29,0.36,1.2,0.19,200.5,23084.5,2,6,2,0,0
77.5,0,19.54,277970.93,7.99,17.37,4.29,32.36,1.08,131780.4,0.07,75.41,53,49.22,51.99,70.77,70.77,328.64,32.02,29.88,29.81,31.49,14.34,13.38,13.35,12.04,11.24,11.21,0.97,1.42,1.26,0.24,182.47,29804.9,2,6,2,0,0
75,2.39,28.45,388134.68,9.18,20.42,4.16,45.09,1.07,209058.3,0.21,69.16,43.92,40.06,43.66,62.28,62.28,263.47,26.25,23.97,25.42,27.7,12.58,11.48,12.18,10.68,9.75,10.34,0.95,1.95,0.96,0.21,80.34,41138.6,9,8,5,0,0
75,7.81,0.09,637679.4,10.39,29.64,5.69,54.11,1.32,258085.5,0.18,74.08,45.98,46.06,55.58,67.83,67.83,242.7,20.94,21.1,21.41,25.84,10.39,10.48,10.63,9.17,9.24,9.38,0.48,0.83,1.06,0.16,112.77,38140.1,3,9,6,0,0
56.39,33.92,6.57,512974.75,14.3,17.32,3.86,64.1,1.47,320566.6,0.15,80.12,52.94,50.53,52.34,74.81,74.81,255.42,25.42,24.27,24.29,25.16,11.88,11.34,11.35,10.76,10.27,10.28,0.51,0.64,1.21,0.16,221.82,46373.3,8,2,0,0,0
29.94,66.12,0.06,9719.72,7.59,7.52,0.99,57.8,1.43,33277.5,0.19,26.79,11.63,8.21,16.35,22.55,23.32,267.14,25.32,17.55,17.99,35.81,6.28,4.35,4.46,5.71,3.96,4.05,1.54,2.02,3.26,0.84,179.36,19153.1,9,3,0,0,1
32.19,60.03,0.05,10659.61,10.52,5.42,0.81,70.59,1.13,78960.2,0.1,30.28,11.03,7.26,15.49,26.68,27.83,180.96,23.82,16.03,16.18,34.53,5.06,3.41,3.44,4.61,3.1,3.13,1.39,1.96,4.03,0.63,147.7,23528.9,12,3,0,0,1
35.57,63.7,0.05,7540.94,3.07,4.06,0.37,33.29,1.14,91668.5,-0.59,32.08,8.77,5.81,14.93,26.93,30.23,400.45,16.74,11.67,11.82,30.37,3.43,2.39,2.42,3.13,2.18,2.21,1.01,1.66,3.76,0.22,47.63,31541.6,19,3,0,0,1
28.35,90.91,0.09,17489.12,4.13,5.37,0.64,34.48,1.33,121964.3,-0.65,31.04,8.17,5.38,14.66,29.5,31.68,623.63,20.41,14.55,11.06,30.17,4.66,3.32,2.53,4.27,3.05,2.32,1.16,1.93,3.13,0.46,92.28,45208.8,19,3,0,0,1
28.35,68.24,0.09,17449.42,5.13,4.32,0.56,39.32,1.33,142969.7,-0.47,31.72,8.63,5.99,14.73,29.5,30.49,500.19,20.59,13.9,13.91,34.23,4.95,3.34,3.35,4.52,3.05,3.05,0.49,0.95,3.18,0.07,20.97,66335.7,21,3,0,0,1
31.78,73.31,0,16194.88,3.28,5.98,0.49,39.92,1.33,142969.7,-0.47,33.5,6.76,4.02,12.41,27.53,32.04,364.27,18.97,10.46,11.27,34.82,4.36,2.4,2.59,3.93,2.17,2.33,0.46,1.1,3.5,0.12,42.92,92669.8,21,3,0,0,1
34.16,98.75,0,11292.35,6.64,1.23,0.24,34.6,1.39,183341.8,-0.33,29.68,6.73,4.4,12,25.39,28.49,494.85,32.51,17.85,18.08,49.3,7.83,4.3,4.36,6.42,3.53,3.57,0.58,1.3,3.15,0.08,20.05,205581.2,21,3,0,0,1
38.48,99.46,0,8951.25,2.27,2.87,0.17,38.61,1.7,257494.9,-0.47,24.19,2.46,1.54,8.87,29.25,23.46,302.41,11.91,6.39,6.44,37.22,3.08,1.65,1.66,2.19,1.18,1.19,0.64,1.41,2.87,0.05,12.4,225003.1,21,4,5,7,1
